title,authors,venue,year,citations,type,ranking,impact_factor
Modelling and managing deployment costs of microservice-based cloud applications,"P Leitner, J Cito, E Stöckli",Proceedings of the 9th International Conference on Utility and Cloud …,2016,89,Conference,B,
Bifrost: Supporting continuous deployment with automated enactment of multi-phase live testing strategies,"G Schermann, D Schöni, P Leitner, HC Gall","Proceedings of the 17th International Middleware Conference, 1-14",2016,85,Conference,A,
Towards quality gates in continuous delivery and deployment,"G Schermann, J Cito, P Leitner, HC Gall","2016 IEEE 24th international conference on program comprehension (ICPC), 1-4",2016,56,Conference,A,
Temperf: Temporal correlation between performance metrics and source code,"J Cito, G Mazlami, P Leitner","Proceedings of the 2Nd International Workshop on Quality-Aware DevOps, 46-47",2016,5,Workshop,,
Building Elastic Java Application Services Seamlessly in the Cloud: A Middleware Framework,"R Zabolotnyi, P Leitner, S Dustdar","Web-Based Services: Concepts, Methodologies, Tools, and Applications, 709-732",2016,1,Book Chapter,,
The making of cloud applications: An empirical study on software development for the cloud,"J Cito, P Leitner, T Fritz, HC Gall",Proceedings of the 2015 10th Joint Meeting on Foundations of Software …,2015,153,Conference,A*,
All the services large and micro: Revisiting industrial practice in services computing,"G Schermann, J Cito, P Leitner","International Conference on Service-Oriented Computing, 36-47",2015,65,Conference,A,
Cloud workbench: Benchmarking iaas providers based on infrastructure-as-code,"J Scheuner, J Cito, P Leitner, H Gall","Proceedings of the 24th International Conference on World Wide Web, 239-242",2015,50,Conference,A,
Bursting with Possibilities--An Empirical Study of Credit-Based Bursting Cloud Instance Types,"P Leitner, J Scheuner",2015 IEEE/ACM 8th International Conference on Utility and Cloud Computing …,2015,38,Conference,B,
Discovering loners and phantoms in commit and issue data,"G Schermann, M Brandtner, S Panichella, P Leitner, H Gall","2015 IEEE 23rd International conference on program comprehension, 4-14",2015,32,Conference,A,
Runtime metric meets developer: building better cloud applications using feedback,"J Cito, P Leitner, HC Gall, A Dadashi, A Keller, A Roth","2015 ACM International Symposium on New Ideas, New Paradigms, and …",2015,30,Conference,C,
JCloudScale: closing the gap between IaaS and PaaS,"R Zabolotnyi, P Leitner, W Hummer, S Dustdar","ACM Transactions on Internet Technology (TOIT) 15 (3), 1-20",2015,28,Journal,,5.1
Sqa-profiles: Rule-based activity profiles for continuous integration environments,"M Brandtner, SC Müller, P Leitner, HC Gall","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and …",2015,15,Conference,A,
Identifying web performance degradations through synthetic and real-user monitoring,"J CITO, D Gotowka, P Leitner, R Pelette, D Suljoti, S Dustdar","Journal of Web Engineering, 414-442",2015,14,Journal,,0.8
SPEEDL-a declarative event-based language to define the scaling behavior of cloud applications,"R Zabolotnyi, P Leitner, S Schulte, S Dustdar","2015 IEEE World Congress on Services, 71-78",2015,13,Conference,B,
"Intent, tests, and release dependencies: Pragmatic recipes for source code integration","M Brandtner, P Leitner, HC Gall",2015 IEEE 15th International Working Conference on Source Code Analysis and …,2015,1,Conference,C,
A framework for a cost-efficient cloud ecosystem,"E Salant, P Leitner, K Wallbom, J Ahtes","eChallenges e-2015 Conference, 1-9",2015,,Conference,,
Profile-based View Composition in Development Dashboards,"M Brandtner, P Leitner, H Gall","Softwaretechnik-Trends Band 35, Heft 2",2015,,Journal,,
Comparing and combining predictive business process monitoring techniques,"A Metzger, P Leitner, D Ivanović, E Schmieders, R Franklin, M Carro, S Dustdar, K Pohl","IEEE Transactions on Systems, Man, and Cybernetics: Systems 45 (2), 276-290",2014,200,Journal,,8.6
Cloud work bench--infrastructure-as-code based cloud benchmarking,"J Scheuner, P Leitner, J Cito, H Gall",2014 IEEE 6th International Conference on Cloud Computing Technology and …,2014,66,Conference,C,
CloudWave: Where adaptive cloud management meets DevOps,"D Bruneo, T Fritz, S Keidar-Barner, P Leitner, F Longo, C Marquezan, A Metzger, K Pohl, A Puliafito, D Raz, A Roth, E Salant, I Segall, M Villari, Y Wolfsthal, C Woods","2014 IEEE Symposium on Computers and Communications (ISCC), 1-6",2014,63,Conference,C,
Generic event‐based monitoring and adaptation methodology for heterogeneous distributed systems,"C Inzinger, W Hummer, B Satzger, P Leitner, S Dustdar","Software: Practice and Experience 44 (7), 805-822",2014,48,Journal,,2.7
Identifying root causes of web performance degradation using changepoint analysis,"J Cito, D Suljoti, P Leitner, S Dustdar","International Conference on Web Engineering, 181-199",2014,23,Conference,B,
Profiling-based task scheduling for factory-worker applications in infrastructure-as-a-service clouds,"R Zabolotnyi, P Leitner, S Dustdar",2014 40th EUROMICRO Conference on Software Engineering and Advanced …,2014,13,Conference,B,
A note on software tools and techniques for monitoring and prediction of cloud services,"R Ranjan, R Buyya, P Leitner, A Haller, S Tai","Software-Practice and Experience 44 (7), 771-775",2014,13,Journal,,2.7
WPress: Benchmarking Infrastructure-as-a-Service cloud computing systems for on-line transaction processing applications,"AH Borhani, P Leitner, BS Lee, X Li, T Hung","2014 IEEE 18th International Enterprise Distributed Object Computing Conference (EDOC), 101-109",2014,8,Conference,B,
Cost-based optimization of service compositions,"P Leitner, W Hummer, S Dustdar","IEEE Transactions on Services Computing 6 (2), 239 - 251",2013,161,Journal,,5.8
Winds of change: From vendor lock-in to the meta cloud,"B Satzger, W Hummer, C Inzinger, P Leitner, S Dustdar","IEEE internet computing 17 (1), 69-73",2013,140,Journal,,5.0
Data-driven and automated prediction of service level agreement violations in service compositions,"P Leitner, J Ferner, W Hummer, S Dustdar","Distributed and Parallel Databases 31 (3), 447-470",2013,78,Journal,,2.5
Testing of data‐centric and event‐based dynamic service compositions,"W Hummer, O Raz, O Shehory, P Leitner, S Dustdar","Software Testing, Verification and Reliability 23 (6), 465-497",2013,20,Journal,,1.5
