title,authors,venue,year,citations,ranking
A cloud benchmark suite combining micro and applications benchmarks,"J Scheuner, P Leitner",Companion of the 2018 ACM/SPEC International Conference on Performance …,2018.0,22,
Selecting web services based on past user experiences,"P Leitner, A Michlmayr, F Rosenberg, S Dustdar","2009 IEEE Asia-Pacific Services Computing Conference (APSCC), 205-212",2009.0,22,
Context-based analytics-establishing explicit links between runtime traces and source code,"J Cito, F Oliveira, P Leitner, P Nagpurkar, HC Gall",2017 IEEE/ACM 39th International Conference on Software Engineering …,2017.0,21,C
Dynamic migration of processing elements for optimized query execution in event-based systems,"W Hummer, P Leitner, B Satzger, S Dustdar","OTM Confederated International Conferences"" On the Move to Meaningful …",2011.0,21,
Ws-aggregation: distributed aggregation of web services data,"W Hummer, P Leitner, S Dustdar","Proceedings of the 2011 ACM Symposium on Applied Computing, 1590-1597",2011.0,21,
Interactive production performance feedback in the IDE,"J Cito, P Leitner, M Rinard, HC Gall",2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE …,2019.0,20,
An approach and case study of cloud instance type selection for multi-tier web applications,"C Davatz, C Inzinger, J Scheuner, P Leitner","2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid …",2017.0,20,B
Testing of data‐centric and event‐based dynamic service compositions,"W Hummer, O Raz, O Shehory, P Leitner, S Dustdar","Software Testing, Verification and Reliability 23 (6), 465-497",2013.0,20,
An exploratory study of the impact of parameterization on JMH measurement results in open-source projects,"H Samoaa, P Leitner",Proceedings of the ACM/SPEC International Conference on Performance …,2021.0,19,
Test coverage of data-centric dynamic compositions in service-based systems,"W Hummer, O Raz, O Shehory, P Leitner, S Dustdar","2011 Fourth IEEE International Conference on Software Testing, Verification …",2011.0,19,
The impact of prompt programming on function-level code generation,"R Khojah, FG de Oliveira Neto, M Mohamad, P Leitner",IEEE Transactions on Software Engineering,2025.0,18,A*
Towards flexible interface mediation for dynamic service invocations,"P Leitner, A Michlmayr, S Dustdar",Proceedings of the 3rd Workshop on Emerging Web Services Technology (WEWST …,2008.0,18,
A framework and middleware for application-level cloud bursting on top of infrastructure-as-a-service clouds,"P Leitner, Z Rostyslav, A Gambi, S Dustdar",2013 IEEE/ACM 6th International Conference on Utility and Cloud Computing …,2013.0,17,
Using application benchmark call graphs to quantify and improve the practical relevance of microbenchmark suites,"M Grambow, C Laaber, P Leitner, D Bermbach","PeerJ Computer Science 7, e548",2021.0,16,
